epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1900.81,0.80041,0.50353,0.96329,0.89192,0.96768,0.97238,0.85838,0.55233,0.40687,0.87736,0.000622615,0.000622615,0.000622615
59,1936.32,0.79235,0.49836,0.96725,0.90478,0.94412,0.96998,0.84436,0.57548,0.42377,0.88226,0.000608468,0.000608468,0.000608468
60,1971.88,0.78322,0.48209,0.956,0.93191,0.95347,0.97424,0.84869,0.56178,0.39829,0.87202,0.000594321,0.000594321,0.000594321
61,2006.55,0.77411,0.47935,0.95553,0.94947,0.93681,0.97727,0.85923,0.55222,0.38331,0.87457,0.000580174,0.000580174,0.000580174
62,2040.21,0.77415,0.47262,0.9548,0.87969,0.95857,0.97296,0.85302,0.56105,0.42199,0.87552,0.000566027,0.000566027,0.000566027
63,2071.89,0.75466,0.4873,0.94739,0.95395,0.91672,0.9762,0.85519,0.55836,0.40137,0.8698,0.00055188,0.00055188,0.00055188
64,2103.11,0.76213,0.47555,0.94864,0.95493,0.92868,0.97284,0.85775,0.53602,0.3926,0.87252,0.000537733,0.000537733,0.000537733
65,2134.54,0.76291,0.47623,0.94802,0.96162,0.90842,0.97259,0.8583,0.54521,0.39356,0.87749,0.000523586,0.000523586,0.000523586
66,2165.75,0.74311,0.45869,0.93853,0.93385,0.93836,0.97695,0.86286,0.55188,0.38391,0.87222,0.000509438,0.000509438,0.000509438
67,2197.11,0.76044,0.48434,0.95032,0.94171,0.94511,0.97316,0.86332,0.5317,0.3881,0.86516,0.000495291,0.000495291,0.000495291
68,2228.38,0.74082,0.45308,0.94145,0.91538,0.94361,0.96992,0.8571,0.5445,0.40133,0.87039,0.000481144,0.000481144,0.000481144
69,2259.74,0.75515,0.46859,0.94507,0.96322,0.92073,0.97125,0.86045,0.53047,0.39341,0.86671,0.000466997,0.000466997,0.000466997
70,2291.41,0.73867,0.45719,0.9384,0.94707,0.92987,0.9734,0.86408,0.54038,0.38421,0.871,0.00045285,0.00045285,0.00045285
71,2324.03,0.72461,0.4427,0.94117,0.90362,0.9592,0.97078,0.86252,0.52621,0.39896,0.86712,0.000438703,0.000438703,0.000438703
72,2356.24,0.73455,0.45319,0.94246,0.90519,0.95167,0.96971,0.85966,0.54103,0.40489,0.87407,0.000424556,0.000424556,0.000424556
73,2388.75,0.71779,0.44745,0.93753,0.94404,0.93177,0.97151,0.85704,0.52664,0.37729,0.86525,0.000410409,0.000410409,0.000410409
74,2421.22,0.71952,0.4399,0.93425,0.92564,0.95325,0.97539,0.86516,0.52609,0.37399,0.86553,0.000396262,0.000396262,0.000396262
75,2453.54,0.72533,0.44391,0.94015,0.92524,0.95307,0.97375,0.87368,0.50921,0.37202,0.86111,0.000382115,0.000382115,0.000382115
76,2485.98,0.71663,0.43938,0.92916,0.90788,0.97415,0.97556,0.86843,0.51963,0.36933,0.85846,0.000367967,0.000367967,0.000367967
77,2518.17,0.71958,0.43939,0.93256,0.94319,0.93945,0.9751,0.8731,0.5278,0.36822,0.86579,0.00035382,0.00035382,0.00035382
78,2550.58,0.71825,0.43795,0.92687,0.94984,0.93941,0.97594,0.88155,0.50293,0.35969,0.85922,0.000339673,0.000339673,0.000339673
79,2582.96,0.70385,0.4243,0.92575,0.91346,0.97498,0.9771,0.87931,0.5028,0.36026,0.85654,0.000325526,0.000325526,0.000325526
80,2615.24,0.70178,0.42865,0.93203,0.96378,0.93606,0.97862,0.88439,0.49947,0.34538,0.85563,0.000311379,0.000311379,0.000311379
81,2647.6,0.70217,0.42707,0.92376,0.91338,0.96951,0.97609,0.87537,0.52097,0.36734,0.86192,0.000297232,0.000297232,0.000297232
82,2679.98,0.69365,0.42715,0.9283,0.91718,0.96461,0.9755,0.87472,0.52031,0.36699,0.86258,0.000283085,0.000283085,0.000283085
83,2712.33,0.69059,0.41527,0.92491,0.93379,0.94173,0.97517,0.87641,0.51493,0.36662,0.85984,0.000268938,0.000268938,0.000268938
84,2744.83,0.68817,0.41497,0.91896,0.9668,0.91437,0.97443,0.88343,0.50569,0.3661,0.85765,0.000254791,0.000254791,0.000254791
85,2777.17,0.69427,0.41377,0.92505,0.94139,0.9353,0.97589,0.87643,0.50617,0.36761,0.86322,0.000240644,0.000240644,0.000240644
86,2809.45,0.68087,0.41245,0.91997,0.92526,0.94124,0.97426,0.87592,0.50954,0.384,0.86153,0.000226497,0.000226497,0.000226497
87,2841.72,0.6687,0.40678,0.90693,0.92094,0.95548,0.97487,0.86979,0.51158,0.37998,0.85689,0.000212349,0.000212349,0.000212349
88,2874.1,0.66552,0.40452,0.91268,0.97157,0.90729,0.97649,0.87683,0.50693,0.3747,0.85343,0.000198202,0.000198202,0.000198202
89,2906.41,0.66008,0.40139,0.91292,0.91538,0.96228,0.97577,0.87225,0.51048,0.36906,0.85471,0.000184055,0.000184055,0.000184055
90,2938.84,0.6702,0.41884,0.91335,0.96959,0.91356,0.97481,0.87394,0.50294,0.37234,0.85436,0.000169908,0.000169908,0.000169908
91,2988.53,0.65451,0.34921,0.91164,0.97967,0.91383,0.97742,0.87898,0.50575,0.3472,0.85271,0.000155761,0.000155761,0.000155761
92,3020.53,0.64566,0.34085,0.91183,0.92685,0.9577,0.97441,0.87538,0.4958,0.35833,0.85256,0.000141614,0.000141614,0.000141614
93,3052.5,0.63632,0.33499,0.90068,0.9556,0.93324,0.97609,0.87982,0.49901,0.35275,0.85115,0.000127467,0.000127467,0.000127467
94,3084.45,0.63054,0.33687,0.90763,0.93423,0.95763,0.97636,0.88251,0.49625,0.34857,0.85346,0.00011332,0.00011332,0.00011332
95,3116.48,0.6242,0.33444,0.90161,0.93102,0.96053,0.97541,0.88103,0.49825,0.35169,0.85065,9.91726e-05,9.91726e-05,9.91726e-05
96,3148.6,0.6238,0.32735,0.89862,0.97583,0.92139,0.97548,0.88385,0.49378,0.34831,0.84987,8.50255e-05,8.50255e-05,8.50255e-05
97,3180.6,0.62221,0.32934,0.90112,0.95569,0.93163,0.97566,0.88411,0.483,0.35145,0.84612,7.08784e-05,7.08784e-05,7.08784e-05
98,3212.65,0.62771,0.32772,0.90171,0.95166,0.935,0.9779,0.8852,0.48825,0.34952,0.84617,5.67313e-05,5.67313e-05,5.67313e-05
99,3244.75,0.62087,0.32547,0.89328,0.92045,0.96523,0.97806,0.88638,0.48884,0.34668,0.8469,4.25842e-05,4.25842e-05,4.25842e-05
100,3276.82,0.60595,0.31871,0.89204,0.95273,0.935,0.97813,0.88598,0.48421,0.34792,0.84665,2.84371e-05,2.84371e-05,2.84371e-05
