epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1613.68,0.38427,0.23678,0.94842,0.9989,0.91209,0.9425,0.87956,0.66135,0.60958,1.26265,9.89669e-05,9.89669e-05,9.89669e-05
65,1638.69,0.37818,0.23554,0.94749,0.999,0.91209,0.94796,0.89714,0.62122,0.58808,1.14097,9.63632e-05,9.63632e-05,9.63632e-05
66,1663.87,0.37407,0.2316,0.94823,0.99874,0.91209,0.9425,0.88697,0.74585,0.74749,1.29225,9.37595e-05,9.37595e-05,9.37595e-05
67,1689.28,0.37647,0.23113,0.94671,0.99875,0.91209,0.94596,0.88988,0.61468,0.62673,1.11344,9.11558e-05,9.11558e-05,9.11558e-05
68,1714.62,0.37216,0.23079,0.94673,0.99891,0.91209,0.94136,0.89339,0.66625,0.73444,1.18913,8.85521e-05,8.85521e-05,8.85521e-05
69,1743.12,0.37097,0.22945,0.94769,0.99899,0.91209,0.94414,0.88958,0.61461,0.59218,1.13086,8.59484e-05,8.59484e-05,8.59484e-05
70,1773.38,0.37936,0.22822,0.95318,0.99882,0.91209,0.94644,0.89159,0.64694,0.60997,1.16453,8.33447e-05,8.33447e-05,8.33447e-05
71,1803.77,0.36567,0.22536,0.9413,0.99885,0.91209,0.9485,0.89385,0.58679,0.55108,1.08931,8.0741e-05,8.0741e-05,8.0741e-05
72,1832.9,0.36483,0.2259,0.94506,0.99882,0.91209,0.94596,0.89029,0.62501,0.6761,1.11678,7.81373e-05,7.81373e-05,7.81373e-05
73,1860.52,0.35853,0.22302,0.93535,0.99895,0.91209,0.9433,0.89305,0.6524,0.66683,1.18039,7.55336e-05,7.55336e-05,7.55336e-05
74,1889.36,0.3638,0.22623,0.93857,0.99871,0.91209,0.94644,0.89068,0.66828,0.69053,1.22642,7.29299e-05,7.29299e-05,7.29299e-05
75,1919.11,0.36705,0.22352,0.94168,0.99867,0.91209,0.94962,0.89611,0.67517,0.51854,1.30571,7.03262e-05,7.03262e-05,7.03262e-05
76,1949.35,0.36084,0.22237,0.93846,0.99868,0.91209,0.94644,0.89657,0.65073,0.65754,1.21516,6.77225e-05,6.77225e-05,6.77225e-05
77,1977.36,0.36069,0.21856,0.94278,0.99859,0.91209,0.94962,0.896,0.65183,0.61725,1.18893,6.51188e-05,6.51188e-05,6.51188e-05
78,2004.93,0.36158,0.2192,0.941,0.99881,0.91209,0.94905,0.89133,0.59416,0.53059,1.13243,6.25151e-05,6.25151e-05,6.25151e-05
79,2033.85,0.35864,0.21782,0.93939,0.99874,0.91209,0.94596,0.89407,0.59158,0.49202,1.13739,5.99114e-05,5.99114e-05,5.99114e-05
80,2062.87,0.35316,0.21593,0.93872,0.99813,0.91209,0.9485,0.89388,0.60303,0.50443,1.13497,5.73077e-05,5.73077e-05,5.73077e-05
81,2090.9,0.34854,0.21097,0.93769,0.99818,0.91209,0.95141,0.89681,0.59539,0.50501,1.13141,5.4704e-05,5.4704e-05,5.4704e-05
82,2119.6,0.35168,0.21153,0.93147,0.99827,0.91209,0.94962,0.8961,0.60084,0.52569,1.17452,5.21003e-05,5.21003e-05,5.21003e-05
83,2147.38,0.35187,0.21081,0.93782,0.99837,0.91209,0.9502,0.89377,0.6359,0.62014,1.15774,4.94966e-05,4.94966e-05,4.94966e-05
84,2175.55,0.34704,0.2074,0.93205,0.99835,0.91209,0.94962,0.89277,0.66497,0.72674,1.21642,4.68929e-05,4.68929e-05,4.68929e-05
85,2203.39,0.347,0.20706,0.93617,0.99832,0.91209,0.94905,0.89244,0.66925,0.69667,1.21669,4.42892e-05,4.42892e-05,4.42892e-05
86,2231.13,0.34735,0.21172,0.9374,0.99835,0.91209,0.9502,0.89514,0.68662,0.76424,1.18338,4.16855e-05,4.16855e-05,4.16855e-05
87,2258.93,0.34461,0.21152,0.93276,0.99891,0.91209,0.95079,0.89706,0.64982,0.64143,1.15473,3.90818e-05,3.90818e-05,3.90818e-05
88,2288.81,0.34509,0.21141,0.93091,0.99814,0.91209,0.94905,0.89442,0.67305,0.71044,1.18719,3.64781e-05,3.64781e-05,3.64781e-05
89,2318.35,0.34439,0.20882,0.93445,0.99876,0.91209,0.9485,0.89402,0.67525,0.70852,1.18733,3.38744e-05,3.38744e-05,3.38744e-05
90,2347.23,0.3413,0.20492,0.93426,0.9987,0.91209,0.94796,0.89563,0.66439,0.64218,1.17929,3.12707e-05,3.12707e-05,3.12707e-05
91,2398.93,0.30751,0.17378,0.91635,0.99824,0.91209,0.93418,0.8789,0.62064,0.42025,1.06678,2.8667e-05,2.8667e-05,2.8667e-05
92,2425.73,0.29764,0.16399,0.91294,0.99782,0.91209,0.93487,0.88136,0.57169,0.56862,1.08465,2.60633e-05,2.60633e-05,2.60633e-05
93,2454.88,0.29666,0.16147,0.91111,0.99823,0.91209,0.941,0.88501,0.60971,0.577,1.10438,2.34596e-05,2.34596e-05,2.34596e-05
94,2482.42,0.29422,0.1612,0.90456,0.99817,0.91209,0.94173,0.88714,0.63503,0.61199,1.13085,2.08559e-05,2.08559e-05,2.08559e-05
95,2509.35,0.29105,0.15588,0.90598,0.99776,0.91209,0.94414,0.88838,0.66296,0.71448,1.1685,1.82522e-05,1.82522e-05,1.82522e-05
96,2537.98,0.29358,0.15669,0.90832,0.99806,0.91209,0.94549,0.88912,0.64937,0.66343,1.1664,1.56485e-05,1.56485e-05,1.56485e-05
97,2565.37,0.28569,0.15421,0.9039,0.99832,0.91209,0.94549,0.89514,0.67508,0.65783,1.1871,1.30448e-05,1.30448e-05,1.30448e-05
98,2592,0.28403,0.15258,0.90459,0.99806,0.91209,0.94549,0.89253,0.65661,0.63283,1.15317,1.04411e-05,1.04411e-05,1.04411e-05
99,2618.7,0.28621,0.15321,0.90373,0.99804,0.91209,0.94549,0.89373,0.65786,0.63718,1.16232,7.8374e-06,7.8374e-06,7.8374e-06
100,2645.27,0.28214,0.15234,0.90535,0.99772,0.91209,0.94503,0.89347,0.65876,0.63572,1.15667,5.2337e-06,5.2337e-06,5.2337e-06
